Category,Issue,Full text,Short text
Κανονική λειτουργία,Κανονική λειτουργία,Το League of Legends είναι έτοιμο και στη διάθεσή σας!,Το League of Legends είναι έτοιμο και στη διάθεσή σας!
Κανονική λειτουργία,Όλα τα θέματα έχουν επιλυθεί,Όλα τα θέματα έχουν επιλυθεί. Οι μηχανές του League of Legends έχουν πάρει μπροστά! Σας ευχαριστούμε για την υπομονή σας!,Όλα τα θέματα έχουν επιλυθεί και το League of Legends λειτουργεί κανονικά. Σας ευχαριστούμε για την υπομονή σας!
Θέματα με τα στατιστικά στοιχεία,Γενικά,Μερικοί παίκτες ενδέχεται να αντιμετωπίζουν προβλήματα με τα στατιστικά τους στο League of Legends. Έχουμε ενημερωθεί για το πρόβλημα και καταβάλλουμε κάθε προσπάθεια για να το λύσουμε το συντομότερο δυνατόν.,Εργαζόμαστε για την επίλυση ενός θέματος που επηρεάζει τα στατιστικά σας. 
Θέματα με τα στατιστικά στοιχεία,Δεν εμφανίζονται στατιστικά στο τέλος του αγώνα,"Μερικοί παίκτες ενδέχεται να αντιμετωπίζουν ένα πρόβλημα με την ανάκτηση των στατιστικών τους μετά από έναν αγώνα. Αν η τελική οθόνη αργεί υπερβολικά να εμφανιστεί, επιλέξτε “Παράλειψη αναμονής στατιστικών και νέο παιχνίδι”. Λογικά, τα στατιστικά του αγώνα θα ενημερωθούν κανονικά στο προφίλ επικαλεστή.",Εργαζόμαστε για την επίλυση ενός θέματος που ενδεχομένως να μην σας επιτρέπει να λάβετε τα στατιστικά σας. Επιλέξτε «Παράλειψη αναμονής στατιστικών» για να αποφύγετε τυχόν καθυστερήσεις.
Θέματα με τα στατιστικά στοιχεία,Χαμένα στατιστικά στοιχεία,Ορισμένα από τα στατιστικά σας ενδέχεται να μην εμφανίζονται σωστά στο προφίλ επικαλεστή σας. Έχουμε ενημερωθεί για το πρόβλημα και καταβάλλουμε κάθε προσπάθεια για να το διορθώσουμε. Το θέμα αφορά την εμφάνιση των στοιχείων. Δεν πρόκειται να χαθούν οριστικά στατιστικά στοιχεία ως αποτέλεσμα αυτού του θέματος.,Εργαζόμαστε για την επίλυση ενός θέματος που δεν επιτρέπει τη σωστή εμφάνιση των στατιστικών στο προφίλ σας.
Θέματα με την επιλογή ηρώων,Δεν είναι δυνατή η πρόσβαση στην επιλογή ηρώων.,Ορισμένοι παίκτες ενδέχεται να αντιμετωπίσουν ένα θέμα που δεν επιτρέπει την πρόσβαση στην επιλογή ηρώων. Έχουμε ενημερωθεί για το πρόβλημα και καταβάλλουμε κάθε προσπάθεια για να το λύσουμε το συντομότερο δυνατόν. Δεν πρόκειται να υπάρξουν αν δεν περάσετε στην επιλογή ηρώων με αυτόν τον τρόπο.,Εργαζόμαστε για την επίλυση ενός θέματος που ενδεχομένως να μην επιτρέπει την πρόσβαση στην επιλογή ηρώων.
Θέματα με την επιλογή ηρώων,Δεν είναι δυνατή η επιλογή ήρωα,Ορισμένοι παίκτες ενδέχεται να αντιμετωπίζουν προβλήματα κατά την επιλογή ήρωα. Έχουμε ενημερωθεί για το πρόβλημα και καταβάλλουμε κάθε προσπάθεια για να το λύσουμε το συντομότερο δυνατόν. ,Εργαζόμαστε για την επίλυση ενός θέματος που ενδεχομένως να μην επιτρέπει την επιλογή ήρωα.
Θέματα με την επιλογή ηρώων,Απενεργοποίηση ήρωα,"Ο ήρωας CHAMPION_NAME προκαλεί θέματα με το παιχνίδι. Μέχρι να διορθωθεί το πρόβλημα, έχουμε απενεργοποιήσει προσωρινά αυτόν τον ήρωα. Ζητούμε συγγνώμη από τους παίκτες του ήρωα CHAMPION_NAME για την αναστάτωση.",Ο ήρωας CHAMPION_NAME προκαλεί θέματα με το παιχνίδι και έχει απενεργοποιηθεί μέχρι να λυθεί το πρόβλημα.
Θέματα με την επιλογή ηρώων,Απενεργοποίηση δωρεάν ήρωα,"Ο ήρωας FREE_CHAMPION προκαλεί θέματα με το παιχνίδι. Μέχρι να διορθωθεί το πρόβλημα, έχουμε απενεργοποιήσει προσωρινά αυτόν τον ήρωα. Εν τω μεταξύ, ο ήρωας SUB_CHAMPION θα πάρει τη θέση του στη σειρά των ηρώων που γίνονται διαθέσιμοι δωρεάν.",Ο ήρωας FREE_CHAMPION προκαλεί προβλήματα με το παιχνίδια και θα αντικατασταθεί στη σειρά των δωρεάν ηρώων με τον ήρωα SUB_CHAMPION μέχρι να γίνουν οι απαραίτητες διορθώσεις.
Ουρά σύνδεσης,Μεγάλοι χρόνοι αναμονής στις ουρές,Ορισμένοι παίκτες ενδέχεται να αντιμετωπίζουν μεγάλες καθυστερήσεις στις ουρές αναμονής. Έχουμε ενημερωθεί για το πρόβλημα και καταβάλλουμε κάθε προσπάθεια για να το λύσουμε το συντομότερο δυνατόν.,Προσπαθούμε να διορθώσουμε τους μεγάλους χρόνους αναμονής που ενδεχομένως υπάρχουν.
Ουρά σύνδεσης,Οι σέρβερ είναι απασχολημένοι,Αντιμετωπίζουμε προβλήματα υπερφόρτωσης των σέρβερ και σε ορισμένους παίκτες ενδέχεται να εμφανίζεται ένα μήνυμα για απασχολημένους σέρβερ όταν προσπαθούν να συνδεθούν στο παιχνίδι. Έχουμε ενημερωθεί για το πρόβλημα και καταβάλλουμε κάθε προσπάθεια για να το λύσουμε το συντομότερο δυνατόν.,Προσπαθούμε να λύσουμε προβλήματα υπερφόρτωσης των σέρβερ και ενδέχεται να εμφανίζεται ένα μήνυμα για απασχολημένους σέρβερ όταν συνδέεστε. 
Καθυστερήσεις,Καθυστερήσεις,Ορισμένοι παίκτες ενδέχεται να αντιμετωπίζουν καθυστερήσεις δικτύου κατά τη διάρκεια του παιχνιδιού. Έχουμε ενημερωθεί για το πρόβλημα και καταβάλλουμε κάθε προσπάθεια για να το λύσουμε το συντομότερο δυνατόν.,Προσπαθούμε να λύσουμε ένα πρόβλημα που ενδεχομένως προκαλεί καθυστερήσεις δικτύου ενώ παίζετε.
Κατάστημα,Αντικείμενα που λείπουν από το απόθεμα,"Ενδέχεται να λείπουν αντικείμενα από το απόθεμα ορισμένων παικτών. Έχουμε ενημερωθεί για το πρόβλημα και καταβάλλουμε κάθε προσπάθεια για να το λύσουμε το συντομότερο δυνατόν. Μόλις διορθωθεί το πρόβλημα που προκαλεί την απώλεια των αντικειμένων, τα αντικείμενα που λείπουν θα αποκατασταθούν.",Προσπαθούμε να λύσουμε ένα θέμα που ενδέχεται να προκαλέσει απώλεια αντικειμένων από το απόθεμά σας. Τα χαμένα αντικείμενα θα αποκατασταθούν.
Κατάστημα,Συντήρηση καταστήματος,Το Κατάστημα του League of Legends είναι εκτός λειτουργίας προς το παρόν λόγω προγραμματισμένων εργασιών συντήρησης,Το Κατάστημα του League of Legends είναι εκτός λειτουργίας λόγω προγραμματισμένων εργασιών συντήρησης.
Κατάστημα,Έκτακτη συντήρηση καταστήματος,Το Κατάστημα του League of Legends είναι εκτός λειτουργίας προς το παρόν λόγω εργασιών συντήρησης και για την επίλυση ορισμένων θεμάτων με τις αγορές.,Το Κατάστημα του League of Legends είναι εκτός λειτουργίας λόγω εργασιών συντήρησης.
Κατάστημα,Δεν είναι δυνατή η αγορά RP,"Λόγω ενός θέματος που παρουσιάστηκε με το Κατάστημα του League of Legends, η αγορά Πόντων Riot έχει απενεργοποιηθεί προς το παρόν. Μπορείτε όμως να ξεκλειδώσετε αντικείμενα ξοδεύοντας τους υπάρχοντες RP και ΠΕ. ","Λόγω ενός θέματος που παρουσιάστηκε με το Κατάστημα, η αγορά Πόντων Riot έχει απενεργοποιηθεί. "
Απενεργοποίηση λειτουργίας ή χαρακτηριστικού του παιχνιδιού,Απενεργοποίηση ουράς αναμονής για αγώνες κατάταξης για έναν ή δύο παίκτες,Ορισμένοι παίκτες ενδέχεται να αντιμετωπίζουν προβλήματα με τους αγώνες κατάταξης για έναν ή δύο παίκτες. Γνωρίζουμε το πρόβλημα και για αυτόν το λόγο έχουμε απενεργοποιήσει προσωρινά την ουρά αναμονής μέχρι να διορθωθεί. Τα κανονικά παιχνίδια είναι διαθέσιμα.,Λόγω κάποιου θέματος με την ουρά αναμονής έχουμε απενεργοποιήσει τους αγώνες κατάταξης για έναν ή δύο παίκτες. Τα κανονικά παιχνίδια και οι ομαδικοί αγώνες κατάταξης εξακολουθούν να είναι διαθέσιμα.
Απενεργοποίηση λειτουργίας ή χαρακτηριστικού του παιχνιδιού,Απενεργοποίηση ομαδικών αγώνων κατάταξης,Ορισμένοι παίκτες ενδέχεται να αντιμετωπίζουν προβλήματα με τους ομαδικούς αγώνες κατάταξης. Γνωρίζουμε το πρόβλημα και για αυτόν το λόγο έχουμε απενεργοποιήσει προσωρινά την ουρά αναμονής μέχρι να διορθωθεί. Τα κανονικά παιχνίδια και οι αγώνες κατάταξης για έναν ή δύο παίκτες είναι διαθέσιμα κανονικά.,Λόγω κάποιου θέματος με την ουρά αναμονής έχουμε απενεργοποιήσει τους ομαδικούς αγώνες κατάταξης. Τα κανονικά παιχνίδια και οι αγώνες κατάταξης για έναν ή δύο παίκτες είναι διαθέσιμα κανονικά.
Απενεργοποίηση λειτουργίας ή χαρακτηριστικού του παιχνιδιού,Απενεργοποίηση αγώνων κατάταξης 3Χ3,Ορισμένοι παίκτες ενδέχεται να αντιμετωπίζουν προβλήματα με τους αγώνες κατάταξης 3Χ3. Γνωρίζουμε το πρόβλημα και για αυτόν το λόγο έχουμε απενεργοποιήσει προσωρινά την ουρά αναμονής μέχρι να διορθωθεί. Τα κανονικά παιχνίδια και οι αγώνες κατάταξης 5Χ5 είναι διαθέσιμα κανονικά.,Λόγω κάποιου θέματος με την ουρά αναμονής έχουμε απενεργοποιήσει τους αγώνες κατάταξης 3Χ3. Τα κανονικά παιχνίδια και οι αγώνες 5Χ5 είναι διαθέσιμα κανονικά.
Απενεργοποίηση λειτουργίας ή χαρακτηριστικού του παιχνιδιού,Απενεργοποίηση αγώνων κατάταξης,Ορισμένοι παίκτες ενδέχεται να αντιμετωπίζουν προβλήματα με τους αγώνες κατάταξης. Γνωρίζουμε το πρόβλημα και για αυτόν το λόγο έχουμε απενεργοποιήσει προσωρινά την ουρά αναμονής μέχρι να διορθωθεί. Τα κανονικά παιχνίδια είναι διαθέσιμα.,: Λόγω κάποιου θέματος με την ουρά αναμονής έχουμε απενεργοποιήσει τους αγώνες κατάταξης. Τα κανονικά παιχνίδια είναι διαθέσιμα.
