Category,Issue,Full text,Short text
Online,Online,League of Legends este pornit şi gata să vă servească!,League of Legends este pornit şi gata să vă servească!
Online,Toate problemele au fost rezolvate,Toate problemele au fost rezolvate şi League of Legends foloseşte toţi cilindrii. Mulţumim pentru răbdare!,Toate problemele au fost rezolvate şi League of Legends funcţionează corect. Mulţumim pentru răbdare!
Probleme cu indicii,General,E posibil ca unii dintre voi să se confrunte cu probleme legate de indicii League of Legends. Am luat la cunoştinţă de această problemă şi lucrăm să o remediem cât mai rapid posibil.,Lucrăm la remedierea problemei care vă poate afecta indicii. 
Probleme cu indicii,Nu apar indicii la finalul jocului,"Este posibil ca unii dintre voi să se confrunte cu probleme la obţinerea indicilor după terminarea unui joc. Dacă întâmpinaţi o întârziere neobişnuit de mare până la apariţia ecranului de final de joc, daţi clic pe ""Sari peste aşteptarea indicilor şi Joacă din nou"". Indicii de joc ar trebui să se reflecte în profilul de invocator.",Lucrăm la remedierea problemei care vă poate împiedica să vă primiţi indicii. Săriţi peste aşteptarea indicilor pentru a evita întârzierile.
Probleme cu indicii,"
Indici pierduţi

","Este posibil ca unii dintre indicii voştri să fie afişaţi incorect în profilul de invocator. Am luat la cunoştinţă de această problemă şi lucrăm pentru a o remedia. Este o problemă la afişaj, dar niciun indice nu va fi pierdut permanent din această cauză.",Lucrăm la remedierea problemei care poate duce la afişarea incorectă a indicilor pe profilul vostru.
Probleme la Selectarea campionilor,Nu se poate intra în etapa de Selectare campioni,Este posibil ca unii dintre voi să întâmpinaţi probleme care vă împiedică să intraţi în etapa de Selectare campioni. Am aflat de existenţa problemei şi lucrăm să o remediem cât mai rapid posibil. Nu se acordă nicio penalizare pentru absenţa de la etapa de Selectare campioni în acest mod.,Lucrăm la remedierea problemei care vă poate împiedica să intraţi în etapa de Selectare campioni.
Probleme la Selectarea campionilor,Nu se poate selecta un campion,E posibil ca unii dintre voi să se confrunte cu probleme la selectarea unui campion în timpul etapei de Selectare campioni. Am aflat de existenţa problemei şi lucrăm să o remediem cât mai rapid posibil. ,Lucrăm la remedierea unei probleme care vă poate împiedica să selectaţi un campion în etapa de Selectare campioni.
Probleme la Selectarea campionilor,Campion dezactivat,"NUME_CAMPION cauzează momentan probleme în joc. Am dezactivat temporar acest campion, cât timp lucrăm la remedierea problemei. Ne cerem scuze pentru neplăcerile create jucătorilor care folosesc campionul NUME_CAMPION.",NUME_CAMPION cauzează momentan probleme în joc şi a fost dezactivat până la remedierea problemei.
Probleme la Selectarea campionilor,Campion gratuit dezactivat,"CAMPION_GRATUIT cauzează momentan probleme în joc. Am dezactivat temporar acest campion, cât timp lucrăm la remedierea problemei. Între timp, CAMPION_SUPLINITOR i-a luat locul în rotaţia gratuită de campioni.","CAMPION_GRATUIT cauzează momentan probleme în joc şi a fost înlocuit în rotaţia gratuită cu CAMPION_SUPLINITOR, până remediem problema."
Lista de aşteptare pentru autentificare,Timpi lungi în listele de aşteptare,E posibil ca unii dintre voi să se fi confruntat cu timpi lungi în listele de aşteptare pentru autentificare. Am luat la cunoştinţă de această problemă şi lucrăm să o remediem cât mai rapid posibil.,Lucrăm la remedierea timpilor lungi în listele de aşteptare cu care probabil v-aţi confruntat.
